0.0, 0.0, 3.000000e+02
0.1, 9.68417, 3.001066e+02
0.2, 19.18106, 3.004606e+02
0.30000000000000004, 28.4796, 3.011208e+02
0.4, 37.56677, 3.021558e+02
0.5, 46.4272, 3.036563e+02
0.6000000000000001, 55.042640000000006, 3.057443e+02
0.7000000000000001, 63.39114, 3.085884e+02
0.8, 71.4448, 3.124315e+02
0.9, 79.16682, 3.176543e+02
1.0, 86.51207000000001, 3.248477e+02
1.1, 93.42163000000001, 3.349978e+02
1.2000000000000002, 99.81824, 3.499818e+02
1.3, 105.59209999999999, 3.729571e+02
1.4000000000000001, 110.5865, 4.101770e+02
1.5, 114.6271, 4.711152e+02
1.6, 117.5895, 5.774755e+02
1.7000000000000002, 119.61410000000001, 7.248248e+02
1.8, 121.04969999999999, 8.913860e+02
1.9000000000000001, 122.118, 1.062550e+03
2.0, 122.848, 1.173453e+03
2.1, 123.0678, 1.256112e+03
2.2, 121.30369999999999, 1.243992e+03
2.3000000000000003, 0.1320998, 2.366331e+03
2.4000000000000004, 0.06140143000000001, 3.601987e+03
2.5, 0.07715662000000001, 3.832372e+03
2.6, 0.09566708, 4.247361e+03
2.7, 0.115547, 4.276387e+03
2.8000000000000003, 0.1312035, 3.892462e+03
2.9000000000000004, 0.1557012, 3.939352e+03
3.0, 0.1830903, 3.996463e+03
3.1, 0.213214, 4.072988e+03
3.2, 0.2425228, 4.093888e+03
3.3000000000000003, 0.2716659, 4.147681e+03
3.4000000000000004, 0.3063982, 4.196832e+03
3.5, 0.3440381, 4.242061e+03
3.6, 0.3812446, 4.290618e+03
3.7, 0.4170468, 4.335114e+03
3.8000000000000003, 0.45599510000000004, 4.379706e+03
3.9000000000000004, 0.49769280000000005, 4.422859e+03
4.0, 0.541793, 4.464206e+03
