regime,trapPeak,trapLevel,trapMeanY,complete,last_Vd,peak_mA_mm,peak_Vd,onset_Vd,collapse_ratio,at_rest_frac,suppression_3V
collapse,8e+18,0.35,0.5,0,1.75,29.1974,0.35,0.45,37310,0.893387,nan
collapse,8e+18,0.35,0.725,0,2,34.0184,0.45,0.5,79760.8,0.897368,nan
incomplete,8e+18,0.35,1.25,0,0.5,40.8308,0.5,nan,1,0.897254,nan
collapse,8e+18,0.35,1.75,0,2.3,42.0194,0.55,0.6,38902.9,0.905589,nan
incomplete,8e+18,0.35,2.4,0,0.6,49.0841,0.6,nan,1,0.90685,nan
off at rest,8e+18,0.55,-0.4,1,3,0.00282267,0.1,nan,15491.8,0.000281764,6.66249e+08
off at rest,8e+18,0.55,-0.125,1,3,1.80197e-06,0.1,nan,16.8675,1.79876e-07,1.11669e+09
off at rest,8e+18,0.55,0,1,3,1.26267e-06,0.1,nan,13.9345,1.26043e-07,1.18654e+09
off at rest,8e+18,0.55,0.125,1,3,1.32434e-06,0.1,nan,10.2614,1.32198e-07,3.45133e+08
off at rest,8e+18,0.55,0.285,1,3,8.06747e-05,0.1,nan,54.518,8.0531e-06,2.52331e+07
off at rest,8e+18,0.55,0.5,1,3,0.000184009,0.1,nan,157.143,1.83682e-05,2.94638e+07
off at rest,8e+18,0.55,0.725,0,1.5,0.0330148,0.05,nan,70936,0.00659119,nan
off at rest,8e+18,0.55,1.25,1,3,0.00333308,0.1,nan,5489.89,0.000332715,1.17769e+08
off at rest,8e+18,0.55,1.75,0,1.6,0.00673197,0.1,nan,12700.2,0.000671998,nan
off at rest,8e+18,0.55,2.4,0,2.45,0.19593,0.05,nan,354816,0.0391162,nan
off at rest,8e+18,0.75,-0.4,0,1.35,2.21482e-05,0.05,nan,191378,4.42175e-06,nan
off at rest,8e+18,0.75,-0.125,1,3,1.74686e-08,1.9,nan,125.069,3.34643e-10,4.33237e+10
off at rest,8e+18,0.75,0,1,3,3.37592e-08,2.8,nan,13.7422,3.06504e-10,5.98179e+10
off at rest,8e+18,0.75,0.125,1,3,3.13873e-08,3,nan,1,2.30588e-10,4.68181e+09
off at rest,8e+18,0.75,0.285,1,3,7.39627e-08,0.1,nan,4173.19,7.38309e-09,1.83085e+10
off at rest,8e+18,0.75,0.5,1,3,1.25951e-07,0.1,nan,383.373,1.25726e-08,6.08569e+09
off at rest,8e+18,0.75,0.725,1,3,2.15999e-07,0.1,nan,324.311,2.15614e-08,5.07839e+09
off at rest,8e+18,0.75,1.25,1,3,4.71696e-05,0.05,nan,502242,9.41712e-06,1.05988e+10
off at rest,8e+18,0.75,1.75,1,3,4.97722e-05,0.05,nan,937245,9.9367e-06,1.30102e+12
off at rest,8e+18,0.75,2.4,0,2.1,9.41169e-06,0.1,nan,40635.1,9.39493e-07,nan
