2e18|0.35|-0.4
2e18|0.35|-0.125
2e18|0.35|0.0
2e18|0.35|0.125
2e18|0.35|0.285
2e18|0.35|0.5
2e18|0.35|0.725
2e18|0.35|1.25
2e18|0.35|1.75
2e18|0.35|2.4
2e18|0.55|-0.4
2e18|0.55|-0.125
2e18|0.55|0.0
2e18|0.55|0.125
2e18|0.55|0.285
2e18|0.55|0.5
2e18|0.55|0.725
2e18|0.55|1.25
2e18|0.55|1.75
2e18|0.55|2.4
2e18|0.75|-0.4
2e18|0.75|-0.125
2e18|0.75|0.0
2e18|0.75|0.125
2e18|0.75|0.285
2e18|0.75|0.5
2e18|0.75|0.725
2e18|0.75|1.25
2e18|0.75|1.75
2e18|0.75|2.4
4e18|0.35|-0.4
4e18|0.35|-0.125
4e18|0.35|0.0
4e18|0.35|0.125
4e18|0.35|0.285
4e18|0.35|0.5
4e18|0.35|0.725
4e18|0.35|1.25
4e18|0.35|1.75
4e18|0.35|2.4
4e18|0.55|-0.4
4e18|0.55|-0.125
4e18|0.55|0.0
4e18|0.55|0.125
4e18|0.55|0.285
4e18|0.55|0.5
4e18|0.55|0.725
4e18|0.55|1.25
4e18|0.55|1.75
4e18|0.55|2.4
4e18|0.75|-0.4
4e18|0.75|-0.125
4e18|0.75|0.0
4e18|0.75|0.125
4e18|0.75|0.285
4e18|0.75|0.5
4e18|0.75|0.725
4e18|0.75|1.25
4e18|0.75|1.75
4e18|0.75|2.4
8e18|0.35|-0.4
8e18|0.35|-0.125
8e18|0.35|0.0
8e18|0.35|0.125
8e18|0.35|0.285
8e18|0.35|0.5
8e18|0.35|0.725
8e18|0.35|1.25
8e18|0.35|1.75
8e18|0.35|2.4
8e18|0.55|-0.4
8e18|0.55|-0.125
8e18|0.55|0.0
8e18|0.55|0.125
8e18|0.55|0.285
8e18|0.55|0.5
8e18|0.55|0.725
8e18|0.55|1.25
8e18|0.55|1.75
8e18|0.55|2.4
8e18|0.75|-0.4
8e18|0.75|-0.125
8e18|0.75|0.0
8e18|0.75|0.125
8e18|0.75|0.285
8e18|0.75|0.5
8e18|0.75|0.725
8e18|0.75|1.25
8e18|0.75|1.75
8e18|0.75|2.4
1e10|0.55|0.2
