4e18|0.0|-0.5
4e18|0.0|0.0
4e18|0.0|0.125
4e18|0.0|0.285
4e18|0.0|0.5
4e18|0.0|0.725
4e18|0.0|1.25
4e18|0.0|2.0
4e18|0.0|2.5
4e18|0.0|3.0
4e18|0.00375|-0.5
4e18|0.00375|0.0
4e18|0.00375|0.125
4e18|0.00375|0.285
4e18|0.00375|0.5
4e18|0.00375|0.725
4e18|0.00375|1.25
4e18|0.00375|2.0
4e18|0.00375|2.5
4e18|0.00375|3.0
4e18|0.0075|-0.5
4e18|0.0075|0.0
4e18|0.0075|0.125
4e18|0.0075|0.285
4e18|0.0075|0.5
4e18|0.0075|0.725
4e18|0.0075|1.25
4e18|0.0075|2.0
4e18|0.0075|2.5
4e18|0.0075|3.0
4e18|0.01125|-0.5
4e18|0.01125|0.0
4e18|0.01125|0.125
4e18|0.01125|0.285
4e18|0.01125|0.5
4e18|0.01125|0.725
4e18|0.01125|1.25
4e18|0.01125|2.0
4e18|0.01125|2.5
4e18|0.01125|3.0
4e18|0.015|-0.5
4e18|0.015|0.0
4e18|0.015|0.125
4e18|0.015|0.285
4e18|0.015|0.5
4e18|0.015|0.725
4e18|0.015|1.25
4e18|0.015|2.0
4e18|0.015|2.5
4e18|0.015|3.0
1e10|0.0|0.2
